threshold,precision_positive,recall_positive,f1_positive,accuracy,balanced_accuracy,predicted_positive_rate
0.37,0.3607368710475667,0.8502916396629941,0.5065637065637065,0.6805,0.7451086508675819,0.454625
0.38,0.3670601461495222,0.846403110823072,0.5120564595177416,0.688875,0.7488171663763803,0.44475
0.39,0.3719599427753934,0.8425145819831497,0.5160778086542279,0.69525,0.751286716421341,0.436875
0.4,0.3757292882147025,0.8347375243033053,0.5182055924361295,0.700625,0.7516571313633609,0.4285
0.41,0.3813939575231828,0.8263123784834737,0.5218993041342611,0.708,0.7530199030407148,0.417875
0.42,0.38624501074608536,0.8152948801036941,0.5241666666666667,0.7145,0.752854192413625,0.407125
0.43,0.39011335012594456,0.8029812054439404,0.5251112523839797,0.719875,0.7514983462561191,0.397
0.44,0.3959407216494845,0.79650032404407,0.5289434043468905,0.726375,0.7530588967285551,0.388
0.45,0.4011243386243386,0.7861309138042774,0.5312021020363477,0.732375,0.7528300534640096,0.378
0.46,0.4057335581787521,0.779650032404407,0.533717834960071,0.73725,0.7533839444970774,0.370625
0.47,0.40990371389270974,0.7725210628645496,0.5356099752864525,0.741625,0.753381485435682,0.3635
0.48,0.41412012644889357,0.7640959170447181,0.537129840546697,0.746,0.7528858089172793,0.355875
0.49,0.4216998191681736,0.7556707712248866,0.5413184772516249,0.753,0.7540162745701635,0.345625
0.5,0.4265033407572383,0.744653272845107,0.5423648808118952,0.757625,0.7526890338207259,0.33675
0.51,0.4324838341574743,0.7368762151652625,0.5450623202301055,0.76275,0.7529045780797661,0.328625
0.52,0.43735408560311284,0.728451069345431,0.5465596887916363,0.766875,0.7522540308783838,0.32125
0.53,0.4452,0.7213220998055736,0.5505812515458818,0.772875,0.7532582312563565,0.3125
0.54,0.45073891625615764,0.711600777705768,0.5518974616737874,0.777125,0.7521919019394567,0.3045
0.55,0.4587388912399492,0.7025275437459495,0.5550435227854583,0.78275,0.7522239701074489,0.295375
0.56,0.46297098310957124,0.6928062216461439,0.555036344755971,0.78575,0.7503832873756506,0.288625
0.57,0.4728821156432093,0.6837329876863253,0.5590885002649708,0.792,0.7508025322510921,0.278875
0.58,0.4804777216352779,0.677900194426442,0.5623655913978495,0.7965,0.7513707259881939,0.272125
0.59,0.4874822862541332,0.6688269604666235,0.5639344262295082,0.8005,0.750396134716818,0.264625
0.6,0.49514563106796117,0.661049902786779,0.5661948376353039,0.804625,0.7499921962439393,0.2575
0.61,0.5040160642570282,0.6506804925469863,0.5680339462517681,0.809125,0.7488341288815155,0.249
0.62,0.5150571131879543,0.642903434867142,0.5719227443067166,0.814375,0.7491271084820454,0.24075
0.63,0.521111704970604,0.6318859364873622,0.5711775043936731,0.817,0.7465609022687703,0.233875
0.64,0.5300275482093664,0.6234607906675308,0.5729600952948184,0.82075,0.7456780490429182,0.226875
0.65,0.5359366157328805,0.6137394685677252,0.5722054380664653,0.823,0.7433727542621806,0.220875
0.66,0.5415456130156886,0.6040181464679196,0.571078431372549,0.825,0.7409125887984634,0.215125
0.67,0.5457280385078219,0.5878159429682437,0.565990639625585,0.826125,0.7354442886592806,0.20775
0.68,0.5542467451952883,0.5793907971484121,0.5665399239543726,0.829,0.7340193880429996,0.201625
0.69,0.5604890604890604,0.5644847699287103,0.5624798191798515,0.830625,0.7293540467267836,0.19425
0.7,0.568679495686795,0.5554115359688918,0.5619672131147541,0.833,0.7273727960160395,0.188375
0.71,0.5825783972125436,0.5418016850291639,0.5614506380120886,0.83675,0.7245170729621582,0.179375
0.72,0.5917030567685589,0.5268956578094621,0.5574220089132671,0.838625,0.7200066023289219,0.17175
0.73,0.6003016591251885,0.5158781594296824,0.554897176716626,0.840375,0.7168983487252175,0.16575
